cz,Name,Incarceration_Rate_rP_gP_pall
cz38501,Moses Lake,0.0123
cz22602,Shawano,0.0122
cz28202,Omaha,0.0122
cz28701,Salida,0.0122
cz4501,West Liberty,0.0121
cz29601,Columbia,0.0121
cz35802,Ontario,0.0121
cz38901,Eugene,0.0121
cz1203,Asheville,0.012
cz14600,Bloomington,0.012
cz31005,Perryton,0.012
cz30905,Wellington,0.012
cz601,North Wilkesboro,0.0119
cz12100,Kalamazoo,0.0119
cz30603,Truth or Consequences,0.0119
cz36700,Eureka,0.0119
cz38902,Newport,0.0119
cz11202,Welch,0.0118
cz11402,Marinette,0.0118
cz31502,Pearsall,0.0118
cz11600,Detroit,0.0117
cz17400,Hagerstown,0.0117
cz24300,Chicago,0.0117
cz29203,Manhattan,0.0117
cz34802,Santa Fe,0.0117
cz16801,Beckley,0.0116
cz18900,Williamsport,0.0116
cz20403,Oak Bluffs,0.0116
cz37200,Fresno,0.0116
cz1701,Raleigh,0.0115
cz13502,Defiance,0.0115
cz29901,Joplin,0.0115
cz37000,Modesto,0.0115
cz4401,London,0.0114
cz15100,Lorain,0.0114
cz26103,Brookfield,0.0114
cz29003,Dodge City,0.0114
cz28606,Wano,0.0114
cz16400,Youngstown,0.0113
cz29501,Leavenworth,0.0113
cz30401,Stillwater,0.0113
cz34308,Billings,0.0113
cz11500,Jackson,0.0112
cz12200,Grand Rapids,0.0112
cz12301,Traverse City,0.0112
cz12800,Washington,0.0112
cz23400,Bloomington,0.0112
cz29204,Topeka,0.0111
cz37100,Bakersfield,0.0111
cz39100,Kennewick,0.0111
cz1201,Franklin,0.011
cz4302,Searcy,0.011
cz12001,Big Rapids,0.011
cz14400,Terre Haute,0.011
cz26602,Sisseton,0.011
cz34001,Hot Springs,0.011
cz34201,Havre,0.011
cz34503,Kalispell,0.011
cz15800,Athens,0.0109
cz12302,Petoskey,0.0108
cz20901,Bridgeport,0.0108
cz24802,Springfield,0.0108
cz29401,Ottawa,0.0108
cz34303,Riverton,0.0108
cz36901,Crescent City,0.0108
cz5402,Glasgow,0.0107
cz11700,Lansing,0.0107
cz36302,Salmon,0.0107
cz39302,Bellingham,0.0107
cz24400,Rockford,0.0106
cz36404,Rock Springs,0.0106
cz37400,Sacramento,0.0106
cz11403,Sault Ste. Marie,0.0105
cz17000,Pikeville,0.0105
cz23900,Peoria,0.0105
cz30000,Russellville,0.0104
cz35402,Cortez,0.0104
cz36401,Steamboat Springs,0.0104
cz4903,Lexington,0.0103
cz16100,State College,0.0103
cz38300,Los Angeles,0.0103
cz13501,Toledo,0.0102
cz25500,Centralia,0.0102
cz26301,Devils Lake,0.0102
cz28304,Valentine,0.0102
cz29506,Bethany,0.0102
cz30300,Fayetteville,0.0102
cz19100,Reading,0.0101
cz25601,Carbondale,0.0101
cz30906,Memphis,0.0101
cz34601,Gillette,0.0101
cz36600,Redding,0.0101
cz14700,Evansville,0.01
cz29104,Salina,0.01
cz26604,Mobridge,0.01
cz27009,Chamberlain,0.01
cz6501,Ellijay,0.0099
cz16901,Charleston,0.0099
cz34304,Sheridan,0.0099
cz13200,Owensboro,0.0098
cz18202,St. Marys,0.0098
cz34203,Great Falls,0.0098
cz34404,Butte-Silver Bow,0.0098
cz16500,Erie,0.0097
cz18700,Sunbury,0.0097
cz25104,Heber Springs,0.0097
cz26107,Kirksville,0.0097
cz38801,Portland,0.0097
cz12402,Grayling charter,0.0096
cz6200,Florence,0.0095
cz23301,Charleston,0.0095
cz25102,West Plains,0.0095
cz31006,Guymon,0.0095
cz34504,Missoula,0.0095
cz39202,Enterprise,0.0095
cz38601,Spokane,0.0094
cz16200,Altoona,0.0093
cz17700,Syracuse,0.0093
cz18800,Scranton,0.0093
cz23801,Davenport,0.0093
cz27501,Des Moines,0.0093
cz36501,Klamath Falls,0.0093
cz36800,Medford,0.0093
cz39400,Seattle,0.0093
cz18000,Buffalo,0.0092
cz19400,New York,0.0092
cz21004,Rhinelander,0.0092
cz28001,Sioux City,0.0092
cz37300,Chico,0.0092
cz19000,Allentown,0.0091
cz39203,Bend,0.0091
cz34302,Worland,0.0091
cz20302,Claremont,0.009
cz25402,Murray,0.009
cz11800,Mount Pleasant,0.0089
cz16300,Pittsburgh,0.0089
cz25101,Mountain Home,0.0089
cz26605,Aberdeen,0.0089
cz27011,Pierre,0.0089
cz34501,Bonners Ferry,0.0089
cz16703,Buckhannon,0.0088
cz28101,Lincoln,0.0088
cz28702,Glenwood Springs,0.0088
cz29505,Polk,0.0088
cz34202,Shelby,0.0088
cz35902,Price,0.0088
cz14801,Olney,0.0087
cz15000,Canton,0.0087
cz16702,Morgantown,0.0087
cz19600,Newark,0.0087
cz22001,Waterloo,0.0087
cz31002,Ulysses,0.0087
cz35904,Richfield,0.0087
cz36100,Salt Lake City,0.0087
cz35803,McCall,0.0087
cz26305,Rugby,0.0086
cz13400,Lima,0.0085
cz19300,Poughkeepsie,0.0085
cz21101,Rice Lake,0.0085
cz23100,Madison,0.0085
cz23700,Galesburg,0.0084
cz24801,Jacksonville,0.0084
cz25103,Harrison,0.0084
cz38000,San Diego,0.0084
cz1001,Boone,0.0083
cz18600,Albany,0.0083
cz20003,Presque Isle,0.0083
cz36301,Pocatello,0.0083
cz31003,Scott City,0.0083
cz36503,Lakeview,0.0082
cz37602,Winnemucca,0.0082
cz13300,Findlay,0.0081
cz17501,Cumberland,0.0081
cz23600,Burlington,0.0081
cz34401,Dillon,0.0081
cz12002,Ludington,0.008
cz20902,Pittsfield,0.008
cz22601,Green Bay,0.008
cz26703,Thief River Falls,0.008
cz36402,Vernal,0.008
cz36902,Roseburg,0.008
cz38200,Santa Barbara,0.008
cz20301,Berlin,0.0079
cz38802,The Dalles,0.0079
cz18100,Elmira,0.0078
cz20200,Burlington,0.0078
cz27903,Grand Island,0.0078
cz12401,Alpena,0.0077
cz21502,Pine City,0.0077
cz24900,Edwardsville,0.0077
cz18201,Olean,0.0075
cz21102,Amery,0.0075
cz22700,Wausau,0.0075
cz18400,Plattsburgh,0.0074
cz26106,Centerville,0.0074
cz26704,Grand Forks,0.0074
cz27004,Winner,0.0074
cz20800,Springfield,0.0073
cz23302,Douglas,0.0073
cz27701,Scottsbluff,0.0073
cz28609,Lexington,0.0073
cz37500,San Jose,0.0072
cz27012,Gettysburg,0.0072
cz15500,Steubenville,0.0071
cz26503,Sioux Falls,0.0071
cz20700,Keene,0.007
cz22100,Iowa City,0.007
cz22200,Cedar Rapids,0.007
cz29302,Newton,0.007
cz34204,Lewistown,0.007
cz34403,Helena,0.007
cz37700,Santa Rosa,0.007
cz22900,La Crosse,0.0069
cz26002,Duluth,0.0069
cz27504,Carroll,0.0069
cz38502,Wenatchee,0.0069
cz20600,Manchester,0.0068
cz26004,International Falls,0.0068
cz27008,Parkston,0.0068
cz27802,Columbus,0.0068
cz29004,Great Bend,0.0068
cz37800,San Francisco,0.0068
cz28602,Norton,0.0068
cz15300,Parkersburg,0.0067
cz17800,Oneonta,0.0067
cz22500,Oshkosh,0.0067
cz27007,Huron,0.0067
cz34301,Cody,0.0067
cz19500,Toms River,0.0066
cz20001,Bangor,0.0066
cz20100,Portland,0.0066
cz26201,Bismarck,0.0066
cz26701,Bemidji,0.0066
cz27402,Fort Dodge,0.0066
cz27801,Columbus-Norfolk,0.0066
cz35905,Loa,0.0066
cz29101,Concordia,0.0065
cz39201,La Grande,0.0065
cz28504,Burlington,0.0065
cz17900,Union,0.0064
cz26504,Watertown,0.0064
cz28704,Laramie,0.0064
cz38602,Colville,0.0064
cz11401,Marquette,0.0063
cz21900,Marshalltown,0.0063
cz22400,Sheboygan,0.0063
cz27703,Torrington,0.0063
cz34502,Libby,0.0063
cz35901,St. George,0.0063
cz36000,Provo,0.0063
cz26804,Cooperstown,0.0063
cz15400,Zanesville,0.0062
cz26802,Lisbon,0.0062
cz27005,Yankton,0.0062
cz27101,Willmar,0.0062
cz27603,Southwest Jackson UT,0.0062
cz18300,Watertown,0.0061
cz26409,Glendive,0.0061
cz27502,Creston,0.0061
cz28306,North Platte,0.0061
cz21003,Ironwood,0.006
cz21501,Minneapolis,0.006
cz26501,Brookings,0.006
cz26801,Fargo,0.006
cz34804,Clayton,0.006
cz16902,Spencer,0.0059
cz21801,Mason City,0.0059
cz26803,Jamestown,0.0059
cz28002,West Point,0.0059
cz34402,Bozeman,0.0059
cz21702,Austin,0.0058
cz28303,Oshkosh,0.0058
cz16701,Elkins,0.0057
cz23802,Clinton,0.0057
cz28201,Red Oak,0.0057
cz22300,Ottumwa,0.0056
cz36200,Logan,0.0056
cz21701,Rochester,0.0055
cz28608,Kearney,0.0055
cz29202,Marysville,0.0055
cz36403,Soda Springs,0.0055
cz23200,Dubuque,0.0054
cz26304,Minot,0.0054
cz27006,Mitchell,0.0054
cz27902,York,0.0054
cz1202,Sylva,0.0053
cz18500,Amsterdam,0.0053
cz21600,Brainerd,0.0053
cz39303,Port Angeles,0.0052
cz26702,Grafton,0.0051
cz27302,Fairmont,0.0051
cz21001,Ashland,0.005
cz23000,Monroe,0.005
cz26601,Milbank,0.0049
cz29001,Pratt,0.0049
cz28501,Springfield,0.0049
cz21201,Hutchinson,0.0048
cz27503,Atlantic,0.0048
cz34305,Miles City,0.0048
cz28601,Oberlin,0.0048
cz21302,Owatonna,0.0047
cz27202,Worthington,0.0047
